epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,28132.4,1.4476,1.0259,1.03822,0.81726,0.7393,0.79481,0.48764,1.45619,0.96705,0.9561,0.00703,0.00703,0.00703
92,28442.4,1.4499,1.02104,1.03547,0.81866,0.73816,0.79516,0.48757,1.45555,0.96562,0.95644,0.006997,0.006997,0.006997
93,28753,1.45452,1.01785,1.03164,0.81299,0.74083,0.79596,0.48762,1.45424,0.96672,0.95651,0.006964,0.006964,0.006964
94,29058.8,1.46077,1.03206,1.03422,0.81624,0.74294,0.79728,0.48921,1.45344,0.96657,0.95639,0.006931,0.006931,0.006931
95,29369.9,1.45369,1.03027,1.03034,0.81887,0.74188,0.79747,0.48925,1.45319,0.96456,0.95619,0.006898,0.006898,0.006898
96,29679.9,1.45626,1.02959,1.0325,0.81637,0.74188,0.79781,0.4878,1.45487,0.96371,0.95642,0.006865,0.006865,0.006865
97,29990.7,1.44272,1.02297,1.02598,0.82046,0.74241,0.79901,0.48948,1.45523,0.96364,0.95609,0.006832,0.006832,0.006832
98,30300.5,1.44186,1.00504,1.03211,0.81846,0.74294,0.79852,0.48845,1.45571,0.96225,0.95594,0.006799,0.006799,0.006799
99,30600.8,1.4345,1.00779,1.02854,0.82468,0.7433,0.79917,0.48982,1.45577,0.9611,0.95566,0.006766,0.006766,0.006766
100,30908.9,1.43715,1.01081,1.03185,0.82685,0.74294,0.79957,0.48924,1.4559,0.95961,0.95556,0.006733,0.006733,0.006733
101,31220,1.43657,1.00597,1.02767,0.82844,0.74294,0.79904,0.48868,1.45377,0.95895,0.95514,0.0067,0.0067,0.0067
102,31529.5,1.42653,0.99555,1.02854,0.82485,0.74196,0.79882,0.4874,1.45395,0.95867,0.95515,0.006667,0.006667,0.006667
103,31837.6,1.43232,0.98947,1.02472,0.82724,0.74248,0.7999,0.48874,1.45297,0.9562,0.95483,0.006634,0.006634,0.006634
104,32144,1.42459,0.99763,1.02436,0.82816,0.74191,0.79953,0.48941,1.45308,0.95524,0.95476,0.006601,0.006601,0.006601
105,32455.1,1.42591,1.00581,1.02339,0.82858,0.74199,0.80025,0.49052,1.45294,0.95334,0.95473,0.006568,0.006568,0.006568
106,32766.9,1.42605,0.98842,1.02436,0.83064,0.74433,0.80036,0.49124,1.45364,0.95072,0.95443,0.006535,0.006535,0.006535
107,33075.7,1.4231,0.98925,1.02298,0.82999,0.74799,0.80063,0.49119,1.45222,0.95204,0.95403,0.006502,0.006502,0.006502
108,33380.1,1.42855,0.97347,1.02445,0.82977,0.75115,0.80124,0.49204,1.45179,0.95272,0.95353,0.006469,0.006469,0.006469
109,33687.2,1.43062,0.98797,1.02051,0.82846,0.7501,0.80145,0.49183,1.4512,0.95145,0.95327,0.006436,0.006436,0.006436
110,33998.4,1.41799,0.98227,1.02264,0.82777,0.74976,0.80109,0.49131,1.45095,0.95091,0.95323,0.006403,0.006403,0.006403
111,34305.7,1.41243,0.97564,1.02317,0.83572,0.74892,0.80229,0.49273,1.45068,0.9494,0.95308,0.00637,0.00637,0.00637
112,34615.2,1.41038,0.97204,1.0179,0.83517,0.74945,0.80257,0.49312,1.4501,0.948,0.9527,0.006337,0.006337,0.006337
113,34912.3,1.41475,0.97654,1.01957,0.83035,0.75125,0.80333,0.49356,1.44959,0.94551,0.9527,0.006304,0.006304,0.006304
114,35221.7,1.40512,0.97076,1.01358,0.82894,0.75111,0.80321,0.49371,1.44803,0.94484,0.95207,0.006271,0.006271,0.006271
115,35532.1,1.40064,0.9697,1.01536,0.8328,0.75071,0.80303,0.49292,1.44858,0.9449,0.95192,0.006238,0.006238,0.006238
116,35842.6,1.41188,0.97588,1.01679,0.83364,0.75146,0.80319,0.49332,1.44839,0.94211,0.95162,0.006205,0.006205,0.006205
117,36152.2,1.39801,0.95375,1.01369,0.83587,0.75084,0.80318,0.49277,1.44803,0.93988,0.9515,0.006172,0.006172,0.006172
118,36461.8,1.40898,0.96749,1.01432,0.83697,0.74971,0.80205,0.49331,1.44742,0.9405,0.95122,0.006139,0.006139,0.006139
119,36770.7,1.39977,0.96775,1.01459,0.83848,0.74828,0.80287,0.49305,1.44652,0.93803,0.95135,0.006106,0.006106,0.006106
120,37079.1,1.39828,0.95985,1.01804,0.83811,0.75045,0.80497,0.49341,1.44726,0.93465,0.95134,0.006073,0.006073,0.006073
121,37388.2,1.39707,0.95454,1.01147,0.83897,0.75004,0.806,0.49369,1.44861,0.93358,0.95148,0.00604,0.00604,0.00604
122,37691.3,1.39996,0.94687,1.01203,0.84018,0.75059,0.80514,0.49358,1.44804,0.9316,0.95105,0.006007,0.006007,0.006007
123,38000.3,1.39548,0.95977,1.00778,0.83902,0.74866,0.80571,0.49283,1.4473,0.93072,0.95109,0.005974,0.005974,0.005974
124,38310.2,1.40243,0.95756,1.01199,0.84076,0.74926,0.80632,0.49447,1.44794,0.929,0.95128,0.005941,0.005941,0.005941
125,38618,1.39622,0.94779,1.00935,0.84033,0.74921,0.80662,0.4941,1.4468,0.92765,0.95111,0.005908,0.005908,0.005908
126,38930,1.37863,0.93623,1.0048,0.8404,0.74885,0.8073,0.49503,1.44487,0.92684,0.95073,0.005875,0.005875,0.005875
127,39235.2,1.38552,0.92895,1.00487,0.83845,0.75051,0.80811,0.49643,1.44414,0.92572,0.95038,0.005842,0.005842,0.005842
128,39544.7,1.39525,0.94776,1.00473,0.83979,0.7511,0.80908,0.49647,1.44473,0.92323,0.95029,0.005809,0.005809,0.005809
129,39853.3,1.37482,0.92602,1.00729,0.835,0.75149,0.80914,0.4974,1.44342,0.92163,0.95017,0.005776,0.005776,0.005776
130,40160.9,1.37634,0.93798,1.00274,0.84082,0.74995,0.80998,0.49899,1.4445,0.92161,0.95048,0.005743,0.005743,0.005743
131,40464.3,1.38751,0.9506,1.00783,0.84356,0.75038,0.81012,0.49891,1.44306,0.91971,0.95014,0.00571,0.00571,0.00571
132,40777.4,1.37293,0.93191,0.99969,0.8409,0.74945,0.80971,0.50049,1.44184,0.91719,0.94999,0.005677,0.005677,0.005677
133,41087.2,1.37042,0.92883,1.00546,0.8424,0.74829,0.81031,0.50093,1.44018,0.91841,0.94949,0.005644,0.005644,0.005644
134,41395.7,1.36644,0.93196,1.00122,0.84076,0.74936,0.81316,0.50123,1.44096,0.91798,0.94958,0.005611,0.005611,0.005611
135,41706.2,1.37641,0.93012,1.00282,0.84636,0.74894,0.81134,0.50187,1.44045,0.91676,0.9495,0.005578,0.005578,0.005578
136,42006.5,1.3639,0.91247,1.00178,0.8453,0.75,0.81334,0.50199,1.43961,0.91414,0.94942,0.005545,0.005545,0.005545
137,42316.6,1.36703,0.91864,1.00433,0.84596,0.75321,0.81378,0.50328,1.44021,0.91417,0.94953,0.005512,0.005512,0.005512
138,42626.7,1.36309,0.91574,0.99607,0.84175,0.75197,0.81338,0.50243,1.44008,0.91439,0.94969,0.005479,0.005479,0.005479
139,42939.5,1.36387,0.91552,0.99939,0.8389,0.75365,0.81247,0.50183,1.43772,0.91329,0.94958,0.005446,0.005446,0.005446
140,43244.6,1.36204,0.90321,0.99452,0.83931,0.75333,0.81238,0.50278,1.43717,0.91298,0.94985,0.005413,0.005413,0.005413
141,43556,1.35537,0.9134,0.99397,0.84652,0.74873,0.81265,0.50219,1.43712,0.91041,0.94973,0.00538,0.00538,0.00538
142,43865.4,1.34822,0.90867,0.99646,0.84713,0.7488,0.81488,0.50349,1.43581,0.90814,0.94906,0.005347,0.005347,0.005347
143,44173.6,1.36455,0.92513,1.00154,0.85119,0.74927,0.81526,0.50374,1.43414,0.90743,0.94871,0.005314,0.005314,0.005314
144,44479.2,1.35165,0.89847,0.99687,0.8492,0.7494,0.81592,0.50518,1.43236,0.90598,0.94837,0.005281,0.005281,0.005281
145,44780.5,1.34854,0.9112,0.99511,0.84968,0.75127,0.81616,0.50559,1.43116,0.90509,0.94779,0.005248,0.005248,0.005248
146,45091.7,1.35148,0.91212,0.99454,0.84773,0.75103,0.81652,0.50665,1.43083,0.90264,0.94765,0.005215,0.005215,0.005215
147,45400.2,1.34021,0.89693,0.98969,0.84792,0.75147,0.81465,0.50738,1.42707,0.90136,0.94717,0.005182,0.005182,0.005182
148,45709.2,1.34912,0.8961,0.99559,0.85106,0.74898,0.81505,0.50768,1.42656,0.89982,0.94709,0.005149,0.005149,0.005149
149,46017.9,1.34127,0.89464,0.99218,0.8511,0.74907,0.81444,0.50655,1.42545,0.89838,0.94668,0.005116,0.005116,0.005116
150,46320.2,1.3523,0.89934,0.99092,0.852,0.74914,0.8149,0.50669,1.42539,0.89682,0.94639,0.005083,0.005083,0.005083
151,46626.8,1.34372,0.89584,0.99307,0.85374,0.74551,0.81739,0.50784,1.4248,0.8963,0.94634,0.00505,0.00505,0.00505
152,46936.8,1.34092,0.88759,0.99319,0.85495,0.74527,0.81566,0.5077,1.4244,0.89543,0.946,0.005017,0.005017,0.005017
153,47246.9,1.34233,0.888,0.9907,0.85459,0.74432,0.81629,0.50812,1.42389,0.89311,0.94599,0.004984,0.004984,0.004984
154,47553.2,1.34457,0.89362,0.99336,0.85794,0.74438,0.8173,0.50922,1.42436,0.89322,0.94592,0.004951,0.004951,0.004951
155,47862.2,1.32995,0.88442,0.98455,0.86218,0.74361,0.81808,0.50912,1.42379,0.89023,0.94589,0.004918,0.004918,0.004918
156,48172.3,1.32131,0.87487,0.98547,0.85218,0.7457,0.81743,0.50935,1.42335,0.88947,0.94611,0.004885,0.004885,0.004885
157,48481.5,1.32615,0.87194,0.98841,0.85757,0.74312,0.81973,0.50942,1.42429,0.88935,0.94595,0.004852,0.004852,0.004852
158,48792,1.33284,0.87607,0.98948,0.8569,0.74307,0.81995,0.50958,1.42249,0.88703,0.9455,0.004819,0.004819,0.004819
159,49093.2,1.31281,0.86413,0.98142,0.85704,0.74255,0.82016,0.50976,1.42098,0.88717,0.9456,0.004786,0.004786,0.004786
160,49402.2,1.32015,0.87035,0.98268,0.85588,0.74396,0.82011,0.50979,1.41993,0.88593,0.94537,0.004753,0.004753,0.004753
161,49714.5,1.31788,0.85799,0.98606,0.85519,0.74765,0.82105,0.50938,1.41866,0.88586,0.94476,0.00472,0.00472,0.00472
162,50024.8,1.32285,0.8722,0.98168,0.8507,0.74994,0.81895,0.50789,1.41808,0.88324,0.9445,0.004687,0.004687,0.004687
163,50329,1.32467,0.86265,0.98281,0.85229,0.74887,0.81919,0.50849,1.41861,0.88198,0.94456,0.004654,0.004654,0.004654
164,50642.3,1.3045,0.86003,0.98587,0.85019,0.75049,0.81838,0.50768,1.41814,0.88275,0.94425,0.004621,0.004621,0.004621
165,50952.9,1.31289,0.86696,0.98196,0.84252,0.75662,0.81987,0.50863,1.41624,0.88134,0.94423,0.004588,0.004588,0.004588
166,51262.3,1.30963,0.85622,0.98022,0.84984,0.74689,0.81919,0.50834,1.41632,0.8804,0.94431,0.004555,0.004555,0.004555
167,51572.5,1.30717,0.86519,0.98168,0.85042,0.74671,0.81935,0.5085,1.41466,0.88076,0.94434,0.004522,0.004522,0.004522
168,51871.9,1.29023,0.84525,0.97947,0.8504,0.74691,0.81899,0.50899,1.41476,0.87976,0.94405,0.004489,0.004489,0.004489
169,52182.5,1.30803,0.85343,0.9821,0.85055,0.7431,0.81831,0.50859,1.41539,0.87857,0.94373,0.004456,0.004456,0.004456
170,52495.8,1.30347,0.84766,0.98027,0.85257,0.74175,0.81795,0.50823,1.41612,0.87826,0.94423,0.004423,0.004423,0.004423
171,52805.8,1.28852,0.84397,0.97187,0.85442,0.74242,0.81867,0.50872,1.4135,0.87845,0.94367,0.00439,0.00439,0.00439
172,53110.9,1.29018,0.83727,0.979,0.85296,0.74364,0.8191,0.51008,1.41298,0.87772,0.94343,0.004357,0.004357,0.004357
173,53420.9,1.28515,0.82972,0.97221,0.85006,0.74326,0.8183,0.5097,1.4111,0.87784,0.94326,0.004324,0.004324,0.004324
174,53729.8,1.29677,0.83875,0.97096,0.85068,0.74431,0.81898,0.50985,1.4119,0.8754,0.94334,0.004291,0.004291,0.004291
175,54040.5,1.28375,0.8293,0.97164,0.85255,0.74484,0.81999,0.51057,1.41176,0.87529,0.94339,0.004258,0.004258,0.004258
176,54350.6,1.29825,0.85625,0.97691,0.8539,0.74609,0.82021,0.51016,1.41271,0.87528,0.94336,0.004225,0.004225,0.004225
177,54648.4,1.28194,0.82868,0.97544,0.8537,0.7456,0.82154,0.51085,1.41214,0.87474,0.94301,0.004192,0.004192,0.004192
178,54957.8,1.27195,0.82306,0.97123,0.8568,0.7455,0.82194,0.51072,1.41173,0.87378,0.94299,0.004159,0.004159,0.004159
179,55266.1,1.29086,0.83009,0.97377,0.85508,0.74783,0.82221,0.5112,1.41203,0.87294,0.94301,0.004126,0.004126,0.004126
180,55577.5,1.28925,0.82619,0.96701,0.85346,0.74928,0.82239,0.51185,1.41289,0.873,0.94286,0.004093,0.004093,0.004093
181,55887.2,1.27552,0.82565,0.96707,0.85697,0.75278,0.82504,0.51261,1.41086,0.87223,0.94282,0.00406,0.00406,0.00406
182,56195.3,1.26346,0.81601,0.96565,0.85388,0.75306,0.82542,0.51311,1.41119,0.87105,0.9431,0.004027,0.004027,0.004027
183,56506.4,1.27557,0.80937,0.96553,0.85191,0.75421,0.82673,0.51294,1.41184,0.87113,0.94311,0.003994,0.003994,0.003994
184,56816.6,1.25794,0.81194,0.96474,0.85251,0.75376,0.8263,0.51209,1.41215,0.86971,0.9433,0.003961,0.003961,0.003961
185,57127.1,1.26551,0.81519,0.96586,0.8565,0.74684,0.82404,0.51134,1.41279,0.86905,0.9434,0.003928,0.003928,0.003928
186,57428.7,1.25911,0.81091,0.96615,0.85306,0.74717,0.82535,0.51143,1.41157,0.86881,0.94292,0.003895,0.003895,0.003895
187,57739.4,1.26843,0.8032,0.96906,0.85448,0.74679,0.82534,0.51147,1.41109,0.86834,0.94308,0.003862,0.003862,0.003862
188,58047.2,1.25721,0.81129,0.9612,0.85398,0.74926,0.82617,0.5111,1.41035,0.86906,0.94273,0.003829,0.003829,0.003829
