epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
120,76013.2,0.96165,0.57482,0.12052,0.74593,0.54921,0.64095,0.35418,0.57538,0.62519,0.08152,0.006073,0.006073,0.006073
121,76647.8,0.80479,0.61009,0.09608,0.74554,0.55462,0.64892,0.36616,0.56142,0.6324,0.08011,0.00604,0.00604,0.00604
122,77282.1,0.7517,0.60371,0.08859,0.76837,0.55665,0.65775,0.37622,0.55139,0.63128,0.07944,0.006007,0.006007,0.006007
123,77916.9,0.76106,0.58831,0.089,0.76675,0.57366,0.6642,0.38734,0.54116,0.6329,0.078,0.005974,0.005974,0.005974
124,78551.8,0.77766,0.59015,0.09302,0.74584,0.5759,0.66804,0.39507,0.52895,0.63467,0.07708,0.005941,0.005941,0.005941
125,79185.7,0.92544,0.55648,0.11097,0.7393,0.57886,0.67253,0.40077,0.52561,0.63113,0.07667,0.005908,0.005908,0.005908
126,79821.3,0.88116,0.57605,0.10564,0.74725,0.57819,0.67205,0.40187,0.52868,0.6286,0.07683,0.005875,0.005875,0.005875
127,80455.5,0.89269,0.60148,0.10662,0.73974,0.58384,0.67266,0.40194,0.5318,0.62456,0.07718,0.005842,0.005842,0.005842
128,81089.5,0.85428,0.6161,0.10136,0.73782,0.58146,0.67071,0.39889,0.53379,0.62226,0.07767,0.005809,0.005809,0.005809
129,81724.3,0.75594,0.6282,0.08915,0.73963,0.57642,0.67138,0.40263,0.52971,0.62564,0.07703,0.005776,0.005776,0.005776
130,82360.2,0.76989,0.59687,0.09133,0.74198,0.5775,0.67085,0.4074,0.52567,0.62487,0.07649,0.005743,0.005743,0.005743
131,82994.7,0.87875,0.56807,0.1066,0.72822,0.5797,0.6709,0.40709,0.52395,0.62925,0.07619,0.00571,0.00571,0.00571
132,83630.7,0.80385,0.60047,0.09488,0.72789,0.57846,0.67439,0.41146,0.5167,0.62895,0.07566,0.005677,0.005677,0.005677
133,84264.6,0.86763,0.57083,0.10205,0.73428,0.57993,0.67517,0.41503,0.51179,0.62875,0.07523,0.005644,0.005644,0.005644
134,84899.8,1.00605,0.58222,0.12191,0.73588,0.57999,0.67426,0.41382,0.50921,0.63008,0.07499,0.005611,0.005611,0.005611
135,85535,0.86634,0.64452,0.10097,0.74793,0.57884,0.67312,0.41396,0.50685,0.63382,0.07454,0.005578,0.005578,0.005578
136,86168.8,0.78729,0.62689,0.09161,0.75434,0.58045,0.67213,0.41631,0.50432,0.63563,0.07434,0.005545,0.005545,0.005545
137,86803.9,0.76063,0.60513,0.08865,0.75577,0.57861,0.67307,0.41591,0.49924,0.63858,0.07417,0.005512,0.005512,0.005512
138,87437.8,0.7676,0.5979,0.09025,0.75721,0.57609,0.67409,0.41693,0.49559,0.64349,0.07372,0.005479,0.005479,0.005479
139,88070.9,0.84915,0.5579,0.10052,0.7541,0.57447,0.67166,0.41372,0.49601,0.64319,0.07375,0.005446,0.005446,0.005446
140,88707.3,0.89377,0.5625,0.105,0.76193,0.57659,0.67212,0.41427,0.49176,0.64602,0.07298,0.005413,0.005413,0.005413
141,89342,0.89245,0.54925,0.10531,0.75103,0.57379,0.66881,0.41701,0.49109,0.64597,0.07319,0.00538,0.00538,0.00538
142,89977,0.85698,0.56877,0.10201,0.7418,0.57434,0.66732,0.41388,0.49726,0.64354,0.07362,0.005347,0.005347,0.005347
143,90611.6,0.78939,0.59482,0.09282,0.74352,0.574,0.66612,0.41106,0.5051,0.63818,0.07437,0.005314,0.005314,0.005314
144,91246.3,0.93881,0.56454,0.1093,0.75483,0.57192,0.66666,0.40947,0.5166,0.62896,0.076,0.005281,0.005281,0.005281
145,91882.1,0.82016,0.60294,0.09622,0.77009,0.5689,0.66594,0.40252,0.53439,0.61628,0.07774,0.005248,0.005248,0.005248
146,92516.5,0.87556,0.59246,0.10241,0.7671,0.56871,0.66023,0.39574,0.55435,0.60569,0.07997,0.005215,0.005215,0.005215
147,93149.7,1.01993,0.55829,0.12335,0.76775,0.56796,0.65867,0.38921,0.56938,0.59714,0.08144,0.005182,0.005182,0.005182
148,93785.3,0.87553,0.6306,0.10147,0.78165,0.56419,0.6535,0.38239,0.58485,0.58917,0.08314,0.005149,0.005149,0.005149
149,94419.6,0.72628,0.63965,0.08342,0.78487,0.55809,0.64829,0.37526,0.60198,0.57921,0.08512,0.005116,0.005116,0.005116
150,95053.3,0.64689,0.6208,0.07533,0.78114,0.56072,0.64514,0.36912,0.61962,0.57019,0.08642,0.005083,0.005083,0.005083
151,95688.1,0.66049,0.59602,0.07582,0.77811,0.5615,0.64248,0.36405,0.62985,0.56456,0.08754,0.00505,0.00505,0.00505
152,96323.4,0.70548,0.56745,0.0815,0.77089,0.56209,0.63863,0.36058,0.64253,0.55539,0.08879,0.005017,0.005017,0.005017
153,96958.2,0.79587,0.56843,0.09352,0.77046,0.56195,0.63844,0.35701,0.65122,0.55001,0.08937,0.004984,0.004984,0.004984
154,97594.3,0.76784,0.56449,0.09126,0.7772,0.56239,0.63601,0.35506,0.6634,0.54205,0.09065,0.004951,0.004951,0.004951
155,98229,0.85584,0.55014,0.10391,0.77788,0.56,0.63315,0.35013,0.67143,0.53738,0.0913,0.004918,0.004918,0.004918
156,98864.6,0.92029,0.54997,0.10501,0.77475,0.55644,0.62929,0.34851,0.67821,0.53418,0.09234,0.004885,0.004885,0.004885
157,99500.3,0.85501,0.55301,0.10063,0.79003,0.55749,0.62993,0.34464,0.68659,0.52883,0.09334,0.004852,0.004852,0.004852
158,100135,0.86239,0.53932,0.10427,0.79128,0.5571,0.62841,0.34339,0.68894,0.52689,0.09371,0.004819,0.004819,0.004819
159,100769,0.86578,0.54815,0.10481,0.79149,0.55435,0.62531,0.3398,0.6983,0.52205,0.09462,0.004786,0.004786,0.004786
160,101404,0.99052,0.54385,0.12145,0.79042,0.55382,0.62451,0.3387,0.713,0.51283,0.09593,0.004753,0.004753,0.004753
161,102039,0.72381,0.60559,0.08346,0.77643,0.5509,0.6159,0.33134,0.7314,0.50182,0.09754,0.00472,0.00472,0.00472
