epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,56856,1.38282,0.92736,1.01397,0.8233,0.72565,0.79477,0.46899,1.47829,0.97614,0.97828,0.00538,0.00538,0.00538
142,57259.6,1.35912,0.92333,1.00916,0.82631,0.72488,0.79483,0.46886,1.47912,0.97593,0.97789,0.005347,0.005347,0.005347
143,57656.7,1.36911,0.91442,1.0117,0.82404,0.72608,0.79568,0.46908,1.48058,0.97638,0.97805,0.005314,0.005314,0.005314
144,58059.2,1.36674,0.90856,1.0055,0.83262,0.72421,0.79754,0.46929,1.48209,0.97773,0.97806,0.005281,0.005281,0.005281
145,58463.1,1.36448,0.90404,1.00914,0.83395,0.72496,0.7983,0.46926,1.48208,0.97639,0.97815,0.005248,0.005248,0.005248
146,58866.2,1.36316,0.92051,1.01267,0.83545,0.72364,0.79759,0.47,1.48137,0.97574,0.97802,0.005215,0.005215,0.005215
147,59270,1.36694,0.89985,1.01102,0.83402,0.72321,0.7997,0.47032,1.47961,0.97277,0.97754,0.005182,0.005182,0.005182
148,59673.2,1.36083,0.90714,1.0052,0.83481,0.72321,0.80043,0.47074,1.47929,0.97144,0.97715,0.005149,0.005149,0.005149
149,60076.5,1.35433,0.90186,1.00159,0.83461,0.72274,0.8003,0.47047,1.47815,0.9701,0.977,0.005116,0.005116,0.005116
150,60470.8,1.34295,0.89418,1.00509,0.83122,0.72487,0.80157,0.4703,1.47659,0.97049,0.97683,0.005083,0.005083,0.005083
151,60874.3,1.35828,0.90052,1.00606,0.83016,0.72764,0.80223,0.47207,1.47733,0.96973,0.97689,0.00505,0.00505,0.00505
152,61278.5,1.34833,0.88571,1.00827,0.82918,0.72712,0.80187,0.47163,1.47833,0.97042,0.97709,0.005017,0.005017,0.005017
153,61681.5,1.35578,0.9045,1.0089,0.83209,0.72329,0.80095,0.47229,1.47843,0.96989,0.97705,0.004984,0.004984,0.004984
154,62084,1.3481,0.89369,1.00401,0.84298,0.71725,0.80065,0.47273,1.47825,0.96877,0.9767,0.004951,0.004951,0.004951
155,62487.8,1.34272,0.88926,1.00113,0.84188,0.71323,0.80161,0.47311,1.47819,0.96803,0.97675,0.004918,0.004918,0.004918
156,62890.9,1.35001,0.89668,1.00065,0.83961,0.71561,0.80184,0.47285,1.47869,0.96805,0.97659,0.004885,0.004885,0.004885
157,63286.4,1.33177,0.8833,1.00022,0.83569,0.72665,0.80193,0.47311,1.47947,0.96774,0.97665,0.004852,0.004852,0.004852
158,63690.4,1.34133,0.89652,0.99666,0.83619,0.72804,0.80297,0.47391,1.47673,0.96462,0.97597,0.004819,0.004819,0.004819
159,64094.1,1.32382,0.85887,0.99439,0.83509,0.72734,0.8034,0.4736,1.47858,0.96633,0.97643,0.004786,0.004786,0.004786
160,64498.4,1.33545,0.88443,0.99879,0.83926,0.72805,0.80334,0.47382,1.47718,0.96636,0.97645,0.004753,0.004753,0.004753
161,64901,1.33185,0.88118,0.99612,0.84092,0.72576,0.80346,0.4736,1.47788,0.96521,0.97619,0.00472,0.00472,0.00472
162,65304.6,1.33475,0.88627,1.00054,0.8434,0.72504,0.80329,0.47341,1.47843,0.96461,0.97654,0.004687,0.004687,0.004687
163,65707.3,1.31263,0.87053,0.99503,0.84612,0.72478,0.80502,0.47488,1.47832,0.96385,0.9766,0.004654,0.004654,0.004654
164,66102.3,1.31488,0.87197,0.99167,0.84553,0.72467,0.80601,0.47542,1.477,0.96345,0.97642,0.004621,0.004621,0.004621
165,66506,1.32092,0.86551,0.99415,0.84521,0.72421,0.80586,0.47497,1.47685,0.96136,0.97595,0.004588,0.004588,0.004588
166,66908.8,1.3205,0.86647,0.98895,0.85002,0.72232,0.80657,0.47583,1.47634,0.96101,0.97616,0.004555,0.004555,0.004555
167,67311.9,1.32154,0.85574,0.99005,0.85357,0.72408,0.80676,0.47633,1.47768,0.96225,0.97617,0.004522,0.004522,0.004522
168,67715.7,1.31066,0.8537,0.98888,0.85536,0.72365,0.8069,0.47648,1.47793,0.96201,0.97663,0.004489,0.004489,0.004489
169,68118.2,1.30951,0.8485,0.98815,0.86226,0.72418,0.80739,0.47733,1.47972,0.96342,0.97668,0.004456,0.004456,0.004456
170,68519.7,1.31868,0.86391,0.98984,0.86129,0.72484,0.8081,0.47738,1.48115,0.96288,0.97627,0.004423,0.004423,0.004423
171,68917.9,1.30191,0.844,0.98856,0.84989,0.72692,0.80852,0.47776,1.48086,0.9615,0.97585,0.00439,0.00439,0.00439
172,69321,1.30258,0.84533,0.98868,0.84734,0.73219,0.80842,0.47788,1.4806,0.96309,0.97594,0.004357,0.004357,0.004357
173,69724.3,1.31161,0.85051,0.9912,0.85026,0.73026,0.80822,0.47769,1.48013,0.96034,0.9756,0.004324,0.004324,0.004324
174,70127.4,1.30069,0.83398,0.98583,0.84118,0.73477,0.80808,0.47737,1.47814,0.9606,0.97533,0.004291,0.004291,0.004291
175,70530.9,1.29971,0.85019,0.98694,0.84451,0.73306,0.80908,0.47814,1.47928,0.96054,0.97514,0.004258,0.004258,0.004258
176,70933.7,1.3065,0.85091,0.9829,0.84213,0.73762,0.80971,0.47756,1.47647,0.95971,0.97507,0.004225,0.004225,0.004225
177,71332.2,1.28853,0.83065,0.98412,0.84614,0.73602,0.80947,0.47758,1.4752,0.95865,0.97511,0.004192,0.004192,0.004192
178,71732.3,1.29975,0.85065,0.98119,0.84552,0.7375,0.8086,0.47723,1.47422,0.95639,0.97474,0.004159,0.004159,0.004159
179,72135.9,1.29588,0.84473,0.98205,0.84451,0.73921,0.80982,0.47823,1.47347,0.95327,0.97382,0.004126,0.004126,0.004126
180,72539.6,1.28613,0.82898,0.97834,0.84299,0.73869,0.80917,0.47798,1.47389,0.95396,0.97371,0.004093,0.004093,0.004093
181,72943.9,1.28416,0.83187,0.97656,0.8449,0.73816,0.80921,0.47858,1.47404,0.95419,0.97409,0.00406,0.00406,0.00406
182,73347.7,1.28463,0.82223,0.97896,0.84857,0.73701,0.80895,0.47827,1.47516,0.95285,0.97441,0.004027,0.004027,0.004027
183,73751.9,1.29315,0.8342,0.9817,0.85106,0.73201,0.80911,0.47954,1.4729,0.95101,0.97375,0.003994,0.003994,0.003994
184,74146.9,1.27706,0.81686,0.97963,0.85094,0.73295,0.80879,0.47984,1.47083,0.94806,0.97398,0.003961,0.003961,0.003961
185,74549.9,1.27381,0.81442,0.98059,0.85025,0.73277,0.80938,0.48081,1.47017,0.94727,0.97369,0.003928,0.003928,0.003928
