epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
74,15178.7,1.66146,0.91361,0.00379,0.80371,0.77528,0.82549,0.51202,1.63423,0.95183,0.0042,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,15382.9,1.63628,0.8975,0.00367,0.80307,0.77611,0.82706,0.51211,1.63643,0.9444,0.00423,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,15587,1.64824,0.89599,0.00377,0.79598,0.77968,0.82801,0.5121,1.63519,0.94498,0.00423,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,15790.7,1.64446,0.88225,0.00373,0.79775,0.78087,0.82909,0.51233,1.63464,0.94421,0.00421,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,15994.4,1.62135,0.87203,0.00372,0.8058,0.77856,0.83259,0.51458,1.6355,0.94662,0.00419,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,16199.3,1.63514,0.88081,0.00367,0.79973,0.78333,0.83513,0.51561,1.63177,0.94684,0.00418,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,16402.9,1.62705,0.86423,0.00364,0.80624,0.78427,0.83617,0.51636,1.63099,0.94549,0.00416,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,16607.2,1.62163,0.86374,0.00361,0.80893,0.78442,0.83582,0.51669,1.62921,0.94132,0.00416,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,16810.8,1.62879,0.88295,0.00369,0.80716,0.78518,0.83511,0.51755,1.63044,0.93909,0.00416,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,17015,1.63504,0.86639,0.00361,0.81371,0.78115,0.83593,0.5175,1.62866,0.93592,0.00415,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,17218.4,1.61433,0.84604,0.00364,0.81663,0.77967,0.83229,0.51468,1.62638,0.94234,0.00414,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,17422.6,1.61651,0.85883,0.00364,0.82356,0.77599,0.83349,0.5158,1.62777,0.94156,0.00415,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,17626.2,1.61524,0.85802,0.00362,0.80957,0.78484,0.83357,0.51451,1.62904,0.93437,0.00417,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,17830.5,1.6111,0.84378,0.00356,0.81258,0.78179,0.83289,0.51432,1.62736,0.93875,0.00416,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,18033.8,1.6029,0.8534,0.00357,0.81498,0.77881,0.83113,0.51363,1.629,0.93664,0.00416,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,18237.4,1.59861,0.84187,0.00359,0.81077,0.77776,0.82991,0.51318,1.62879,0.93677,0.00416,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,18441,1.58674,0.83997,0.00358,0.80793,0.778,0.82932,0.51305,1.62885,0.93826,0.00416,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,18644.9,1.58519,0.83088,0.00353,0.81611,0.77584,0.82739,0.51382,1.62607,0.93946,0.00415,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,18849,1.5876,0.83682,0.00352,0.81161,0.77655,0.82631,0.51369,1.62677,0.93854,0.00415,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,19052.9,1.58797,0.83744,0.00353,0.8027,0.77536,0.82624,0.51364,1.62925,0.93693,0.00416,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,19256.4,1.56896,0.81915,0.0035,0.80272,0.77238,0.82701,0.51179,1.62757,0.93981,0.00415,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,19461,1.58478,0.8108,0.00352,0.81595,0.76365,0.82851,0.51299,1.62866,0.93771,0.00415,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,19665.2,1.5788,0.82227,0.00352,0.81037,0.7682,0.83025,0.51276,1.62875,0.93884,0.00415,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,19869,1.58018,0.82121,0.00347,0.80692,0.76922,0.83056,0.51236,1.62939,0.93916,0.00414,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,20072.5,1.56967,0.81601,0.00347,0.80141,0.76911,0.83015,0.51194,1.62703,0.94273,0.00413,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,20275.7,1.57862,0.81069,0.0035,0.80528,0.77178,0.82973,0.51252,1.62521,0.94379,0.00413,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,20479.2,1.57594,0.80328,0.00337,0.8046,0.77624,0.82987,0.51262,1.62701,0.94056,0.00413,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,20683.5,1.56696,0.79258,0.00341,0.8016,0.77365,0.82829,0.51213,1.62636,0.94183,0.00414,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,20887,1.55685,0.80575,0.00342,0.79791,0.77711,0.82581,0.51023,1.62687,0.94058,0.00413,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,21090.6,1.55836,0.79836,0.0034,0.80054,0.77498,0.82318,0.50898,1.62683,0.93621,0.00414,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,21294.4,1.54691,0.79223,0.00333,0.80306,0.76221,0.82419,0.51076,1.62846,0.93449,0.00413,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,21498.3,1.54792,0.78517,0.00342,0.78602,0.77898,0.82579,0.51178,1.62894,0.93528,0.00414,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,21701.8,1.55702,0.78965,0.0034,0.7843,0.78743,0.82674,0.5133,1.62795,0.93748,0.00415,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,21905.9,1.54005,0.77452,0.00341,0.79092,0.78053,0.82778,0.51323,1.62765,0.94036,0.00415,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,22109.4,1.54019,0.78374,0.00333,0.78915,0.78085,0.82924,0.5147,1.62931,0.939,0.00416,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,22313.4,1.53435,0.78861,0.00336,0.81097,0.76401,0.83142,0.51577,1.62874,0.94021,0.00416,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
