               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.040343,           0.0062084,           0.0012797,             0.79842,                0.73,             0.80793,             0.46066,            0.035411,           0.0055766,           0.0014005,            0.007261,            0.007261,            0.007261
                  85,            0.040004,           0.0061615,           0.0012934,             0.79795,             0.73016,             0.80878,             0.46086,            0.035381,           0.0055734,           0.0014078,            0.007228,            0.007228,            0.007228
                  86,            0.040684,           0.0061853,           0.0015665,             0.79894,             0.73466,             0.80897,             0.46131,            0.035347,           0.0055713,           0.0014153,            0.007195,            0.007195,            0.007195
                  87,            0.039796,           0.0060765,           0.0013632,             0.79446,             0.73874,             0.81097,             0.46175,            0.035313,           0.0055682,           0.0014185,            0.007162,            0.007162,            0.007162
                  88,            0.040266,           0.0061165,           0.0013856,             0.79482,             0.73821,             0.81081,             0.46093,            0.035299,           0.0055665,           0.0014273,            0.007129,            0.007129,            0.007129
                  89,            0.040343,            0.006233,           0.0015216,             0.80217,             0.73715,             0.81201,             0.46264,            0.035282,           0.0055628,           0.0014393,            0.007096,            0.007096,            0.007096
                  90,            0.040209,           0.0063013,           0.0014208,             0.79985,             0.73339,             0.81099,             0.46193,            0.035255,           0.0055593,           0.0014378,            0.007063,            0.007063,            0.007063
                  91,            0.039737,           0.0060984,           0.0014822,              0.7996,             0.73519,              0.8113,              0.4621,            0.035221,           0.0055563,            0.001441,             0.00703,             0.00703,             0.00703
                  92,            0.039834,           0.0061416,           0.0013493,             0.79658,             0.73796,             0.81102,             0.46333,            0.035193,           0.0055524,           0.0014477,            0.006997,            0.006997,            0.006997
                  93,            0.039972,           0.0061257,           0.0014584,             0.79859,             0.73826,              0.8113,              0.4633,             0.03517,           0.0055478,           0.0014535,            0.006964,            0.006964,            0.006964
                  94,             0.03986,            0.006156,            0.001277,             0.78437,             0.74806,             0.81242,             0.46435,            0.035158,           0.0055429,           0.0014653,            0.006931,            0.006931,            0.006931
                  95,            0.039643,           0.0061555,           0.0014498,             0.78939,             0.74441,             0.81274,             0.46371,            0.035131,           0.0055383,            0.001483,            0.006898,            0.006898,            0.006898
                  96,            0.039158,           0.0061294,           0.0012731,             0.79165,              0.7422,             0.81237,             0.46434,            0.035109,           0.0055347,           0.0014833,            0.006865,            0.006865,            0.006865
                  97,             0.03931,           0.0060133,           0.0013751,             0.79363,             0.74073,             0.81165,             0.46454,            0.035087,           0.0055311,           0.0014931,            0.006832,            0.006832,            0.006832
                  98,            0.039328,           0.0060213,           0.0014742,              0.7948,             0.74097,              0.8116,             0.46439,            0.035072,           0.0055268,            0.001492,            0.006799,            0.006799,            0.006799
                  99,            0.039437,           0.0061126,           0.0013902,             0.79337,              0.7414,               0.812,             0.46542,            0.035046,           0.0055234,           0.0014976,            0.006766,            0.006766,            0.006766
                 100,            0.039126,           0.0060808,           0.0012716,             0.79921,             0.73471,             0.81192,             0.46566,            0.035049,           0.0055186,           0.0015053,            0.006733,            0.006733,            0.006733
                 101,            0.039193,           0.0060269,           0.0014889,               0.815,             0.72458,             0.81244,             0.46627,            0.035058,           0.0055144,            0.001519,              0.0067,              0.0067,              0.0067
                 102,            0.039364,           0.0060947,           0.0012706,              0.8117,             0.72292,             0.81238,             0.46641,            0.035038,             0.00551,           0.0015372,            0.006667,            0.006667,            0.006667
                 103,            0.038694,           0.0060304,           0.0011754,             0.81604,              0.7203,              0.8132,             0.46547,            0.035007,           0.0055073,           0.0015596,            0.006634,            0.006634,            0.006634
                 104,            0.038914,           0.0059246,           0.0011216,             0.81418,             0.72281,             0.81406,             0.46589,            0.034998,           0.0055031,           0.0015755,            0.006601,            0.006601,            0.006601
                 105,            0.039256,           0.0060426,           0.0013965,             0.81562,             0.72187,             0.81399,             0.46678,            0.035057,           0.0055013,           0.0015981,            0.006568,            0.006568,            0.006568
                 106,             0.03887,           0.0060781,           0.0012622,              0.8109,             0.72603,             0.81421,             0.46773,            0.035017,           0.0054985,            0.001607,            0.006535,            0.006535,            0.006535
                 107,            0.038983,            0.006043,           0.0012851,             0.80789,             0.72831,             0.81339,             0.46749,            0.034986,           0.0054963,           0.0016091,            0.006502,            0.006502,            0.006502
                 108,            0.039133,           0.0060472,           0.0013269,             0.81312,             0.72871,             0.81444,              0.4673,            0.034942,           0.0054946,           0.0015962,            0.006469,            0.006469,            0.006469
                 109,            0.038989,           0.0060106,           0.0012355,             0.81496,             0.73049,             0.81415,             0.46679,            0.034906,           0.0054928,           0.0015875,            0.006436,            0.006436,            0.006436
                 110,             0.03951,           0.0060393,           0.0012982,             0.81595,             0.72909,              0.8143,             0.46664,             0.03482,           0.0054909,           0.0015888,            0.006403,            0.006403,            0.006403
                 111,            0.037885,           0.0059482,           0.0012721,             0.81482,              0.7295,             0.81358,             0.46624,            0.034795,           0.0054876,           0.0015959,             0.00637,             0.00637,             0.00637
                 112,            0.038303,           0.0058818,           0.0010136,             0.81497,             0.72967,             0.81326,             0.46667,            0.034776,           0.0054841,           0.0015996,            0.006337,            0.006337,            0.006337
                 113,            0.038711,           0.0060299,           0.0011095,             0.81725,             0.72707,             0.81386,             0.46817,            0.034731,           0.0054816,           0.0016006,            0.006304,            0.006304,            0.006304
                 114,            0.038054,           0.0060169,           0.0012111,             0.81639,             0.73092,             0.81412,              0.4691,            0.034719,           0.0054762,           0.0016013,            0.006271,            0.006271,            0.006271
                 115,            0.038175,           0.0059073,           0.0010772,             0.81775,             0.73059,             0.81365,              0.4692,            0.034716,           0.0054709,           0.0016017,            0.006238,            0.006238,            0.006238
                 116,             0.03811,           0.0059607,           0.0011126,              0.8175,             0.73173,             0.81371,             0.46889,            0.034708,           0.0054664,           0.0016072,            0.006205,            0.006205,            0.006205
                 117,            0.037618,           0.0059185,           0.0010316,             0.81468,             0.73747,             0.81406,             0.46888,            0.034671,           0.0054607,           0.0016045,            0.006172,            0.006172,            0.006172
                 118,            0.038469,           0.0058574,           0.0010717,             0.81225,             0.74275,             0.81429,             0.47131,             0.03466,           0.0054559,            0.001603,            0.006139,            0.006139,            0.006139
                 119,            0.038573,           0.0059601,           0.0010887,             0.79827,             0.75041,             0.81549,             0.47082,            0.034645,           0.0054507,            0.001602,            0.006106,            0.006106,            0.006106
                 120,             0.03764,           0.0059603,           0.0009899,             0.80659,             0.74508,             0.81511,             0.46995,            0.034589,           0.0054456,           0.0015967,            0.006073,            0.006073,            0.006073
                 121,            0.038074,           0.0058072,           0.0011375,             0.81294,             0.74429,             0.81699,              0.4702,             0.03454,           0.0054412,           0.0015991,             0.00604,             0.00604,             0.00604
                 122,            0.037557,           0.0058755,           0.0010714,             0.81392,             0.74365,             0.81741,             0.47103,            0.034525,           0.0054372,           0.0016023,            0.006007,            0.006007,            0.006007
                 123,            0.037687,           0.0059421,           0.0011328,             0.81463,              0.7433,             0.81741,              0.4711,            0.034507,           0.0054347,           0.0016034,            0.005974,            0.005974,            0.005974
                 124,            0.037786,           0.0058842,           0.0010684,             0.81949,             0.73697,              0.8172,             0.47114,            0.034493,           0.0054334,           0.0016177,            0.005941,            0.005941,            0.005941
                 125,            0.037876,           0.0058469,            0.001131,             0.82586,             0.73686,             0.82107,              0.4725,            0.034459,           0.0054308,           0.0016194,            0.005908,            0.005908,            0.005908
                 126,            0.038017,           0.0058425,           0.0010748,             0.82659,             0.73915,             0.82079,             0.47234,            0.034443,           0.0054269,           0.0016214,            0.005875,            0.005875,            0.005875
                 127,            0.037569,           0.0059875,           0.0010259,             0.82446,             0.74468,             0.82077,             0.47311,             0.03442,           0.0054236,           0.0016266,            0.005842,            0.005842,            0.005842
                 128,            0.037557,           0.0057399,            0.001104,             0.82452,             0.74516,              0.8209,             0.47411,            0.034401,           0.0054195,           0.0016265,            0.005809,            0.005809,            0.005809
                 129,            0.037653,           0.0058925,           0.0011283,             0.82763,             0.74459,             0.82091,             0.47404,            0.034396,           0.0054159,           0.0016213,            0.005776,            0.005776,            0.005776
                 130,            0.037214,           0.0057857,           0.0010704,             0.82743,             0.74442,             0.82089,             0.47362,            0.034367,           0.0054117,           0.0016259,            0.005743,            0.005743,            0.005743
                 131,            0.036919,           0.0057627,           0.0011215,             0.82863,             0.74614,             0.82112,             0.47229,            0.034335,           0.0054092,           0.0016228,             0.00571,             0.00571,             0.00571
                 132,            0.037457,           0.0058053,          0.00093786,             0.82867,             0.74667,             0.82129,             0.47207,            0.034298,           0.0054065,           0.0016215,            0.005677,            0.005677,            0.005677
                 133,            0.037235,           0.0057383,          0.00095017,             0.82676,             0.74667,             0.82032,             0.47392,            0.034279,           0.0054054,           0.0016285,            0.005644,            0.005644,            0.005644
                 134,            0.037463,           0.0057251,           0.0011186,             0.82335,             0.74777,             0.82016,             0.47468,            0.034269,           0.0054024,           0.0016408,            0.005611,            0.005611,            0.005611
                 135,            0.036662,           0.0058376,          0.00088751,             0.82715,             0.74305,             0.81936,             0.47569,            0.034256,           0.0053991,            0.001647,            0.005578,            0.005578,            0.005578
                 136,            0.036595,           0.0057378,           0.0009466,             0.82871,             0.74363,             0.81988,             0.47639,            0.034242,           0.0053955,            0.001647,            0.005545,            0.005545,            0.005545
                 137,            0.036613,           0.0056713,          0.00093723,             0.82845,             0.74728,             0.82046,             0.47708,            0.034206,            0.005392,           0.0016466,            0.005512,            0.005512,            0.005512
                 138,            0.036765,           0.0057909,           0.0009657,             0.81834,             0.75187,             0.82026,             0.47731,            0.034193,           0.0053892,           0.0016449,            0.005479,            0.005479,            0.005479
                 139,            0.036782,           0.0057622,          0.00092078,             0.81666,             0.75851,             0.82042,             0.47779,            0.034178,           0.0053842,           0.0016462,            0.005446,            0.005446,            0.005446
                 140,            0.036798,           0.0057682,          0.00091305,             0.81714,              0.7588,             0.82068,             0.47716,            0.034157,           0.0053793,           0.0016426,            0.005413,            0.005413,            0.005413
                 141,            0.036831,           0.0057097,          0.00096355,             0.81995,             0.75844,             0.82078,             0.47779,            0.034145,           0.0053744,           0.0016428,             0.00538,             0.00538,             0.00538
                 142,            0.036478,           0.0057062,           0.0010373,             0.81717,             0.75488,             0.81689,             0.47853,            0.034111,           0.0053689,           0.0016459,            0.005347,            0.005347,            0.005347
                 143,             0.03621,           0.0057175,           0.0010224,             0.82353,             0.76231,             0.82165,             0.47725,            0.034087,           0.0053642,           0.0016387,            0.005314,            0.005314,            0.005314
                 144,            0.036376,           0.0056809,           0.0011124,             0.81937,             0.75943,             0.81767,              0.4772,             0.03406,           0.0053586,           0.0016366,            0.005281,            0.005281,            0.005281
                 145,            0.036499,           0.0056581,          0.00088936,             0.82365,             0.76315,             0.82223,             0.47906,            0.034033,           0.0053526,           0.0016329,            0.005248,            0.005248,            0.005248
                 146,            0.035978,           0.0055955,             0.00094,             0.82841,             0.76427,             0.82475,             0.48033,            0.034005,           0.0053479,           0.0016261,            0.005215,            0.005215,            0.005215
                 147,            0.036051,           0.0055877,          0.00093555,             0.82965,             0.76493,             0.82551,             0.48121,            0.033977,           0.0053434,           0.0016199,            0.005182,            0.005182,            0.005182
                 148,            0.036928,           0.0056787,          0.00093521,             0.82884,             0.76315,             0.82727,             0.48057,            0.033992,           0.0053392,           0.0016091,            0.005149,            0.005149,            0.005149
                 149,            0.036207,           0.0056107,          0.00096242,             0.83126,             0.76044,              0.8276,             0.48134,            0.033977,           0.0053344,           0.0016077,            0.005116,            0.005116,            0.005116
                 150,            0.036352,           0.0055618,          0.00095938,             0.82014,             0.76344,             0.82339,             0.48076,            0.033952,           0.0053293,           0.0016127,            0.005083,            0.005083,            0.005083
                 151,            0.035839,           0.0055856,          0.00083589,             0.81584,             0.76617,              0.8237,             0.48085,            0.033916,           0.0053235,           0.0016231,             0.00505,             0.00505,             0.00505
                 152,            0.035404,           0.0055176,          0.00079595,             0.81437,             0.76592,             0.82388,             0.48062,            0.033891,           0.0053187,           0.0016357,            0.005017,            0.005017,            0.005017
                 153,             0.03569,           0.0055192,          0.00086805,             0.81644,             0.76451,             0.82456,              0.4807,            0.033879,           0.0053133,           0.0016369,            0.004984,            0.004984,            0.004984
                 154,            0.035406,            0.005602,          0.00096118,             0.82066,             0.75907,             0.82431,             0.48094,             0.03387,           0.0053093,           0.0016415,            0.004951,            0.004951,            0.004951
                 155,            0.035877,           0.0055554,           0.0011176,             0.82501,             0.75444,             0.82498,             0.48201,            0.033861,           0.0053049,           0.0016524,            0.004918,            0.004918,            0.004918
                 156,            0.035532,           0.0055632,          0.00085402,             0.81762,             0.76757,             0.82935,             0.48272,            0.033837,           0.0053022,           0.0016653,            0.004885,            0.004885,            0.004885
